time_step,start,end,vehicle,distance,kind
12,783,834,V22,7.689481736045675,overflow
12,783,834,V23,7.689481736045675,overflow
12,783,882,V28,12.561839638690564,overflow
12,783,834,V31,7.689481736045675,overflow
12,783,882,V34,12.561839638690564,overflow
13,783,965,V27,10.498093903671007,overflow
13,783,965,V29,10.498093903671007,overflow
13,783,931,V30,18.3740064075405,overflow
13,783,834,V42,7.689481736045675,overflow
13,783,965,V43,10.498093903671007,overflow
13,783,882,V44,12.561839638690564,overflow
13,783,1276,V45,22.606377139254327,overflow
13,783,931,V46,18.3740064075405,overflow
13,783,834,V47,7.689481736045675,overflow
13,783,965,V105,10.498093903671007,overflow
13,783,882,V106,12.561839638690564,overflow
13,783,1276,V108,22.606377139254327,overflow
13,783,931,V121,18.3740064075405,overflow
13,783,834,V122,7.689481736045675,overflow
13,783,965,V161,10.498093903671007,overflow
13,783,882,V183,12.561839638690564,overflow
13,783,1276,V184,22.606377139254327,overflow
13,783,931,V187,18.3740064075405,overflow
14,783,965,V25,10.498093903671007,overflow
14,783,535,V32,11.620421645142477,overflow
14,783,965,V36,10.498093903671007,overflow
14,783,659,V48,5.809594285895007,overflow
14,783,535,V49,11.620421645142477,overflow
14,783,965,V101,10.498093903671007,overflow
14,783,931,V111,18.3740064075405,overflow
14,783,834,V112,7.689481736045675,overflow
14,783,659,V190,5.809594285895007,overflow
14,783,535,V191,11.620421645142477,overflow
14,783,965,V192,10.498093903671007,overflow
14,783,931,V193,18.3740064075405,overflow
14,783,834,V194,7.689481736045675,overflow
14,783,659,V195,5.809594285895007,overflow
14,783,535,V201,11.620421645142477,overflow
14,783,965,V202,10.498093903671007,overflow
14,783,882,V221,12.561839638690564,overflow
14,783,1276,V222,22.606377139254327,overflow
14,783,931,V249,18.3740064075405,overflow
14,783,834,V261,7.689481736045675,overflow
14,783,885,V262,15.378166398318458,overflow
14,783,659,V264,5.809594285895007,overflow
14,783,535,V265,11.620421645142477,overflow
14,783,965,V267,10.498093903671007,overflow
15,783,882,V26,12.561839638690564,overflow
15,783,659,V35,5.809594285895007,overflow
15,783,965,V40,10.498093903671007,overflow
15,783,882,V61,12.561839638690564,overflow
15,783,931,V114,18.3740064075405,overflow
15,783,885,V115,15.378166398318458,overflow
15,783,659,V196,5.809594285895007,overflow
15,783,965,V197,10.498093903671007,overflow
15,783,882,V246,12.561839638690564,overflow
15,783,931,V250,18.3740064075405,overflow
15,783,834,V251,7.689481736045675,overflow
15,783,885,V268,15.378166398318458,overflow
15,783,659,V269,5.809594285895007,overflow
15,783,535,V322,11.620421645142477,overflow
15,783,965,V341,10.498093903671007,overflow
15,783,882,V361,12.561839638690564,overflow
15,783,1276,V441,22.606377139254327,overflow
15,783,931,V442,18.3740064075405,overflow
15,783,834,V443,7.689481736045675,overflow
15,783,359,V444,12.499801205497114,overflow
15,783,885,V445,15.378166398318458,overflow
15,783,659,V446,5.809594285895007,overflow
15,783,1091,V448,10.241109598832232,overflow
16,783,931,V22,18.3740064075405,overflow
16,783,931,V53,18.3740064075405,overflow
16,783,885,V141,15.378166398318458,overflow
16,783,1091,V162,10.241109598832232,overflow
