time_step,start,end,flow,distance
0,925,873,1,8.629868015705554
0,925,1140,1,5.559746332228015
0,925,834,1,5.249047199856985
0,925,928,1,2.8524929798341074
0,925,850,1,10.694040075602611
0,1232,928,1,8.28950012214804
0,1232,1058,1,4.83687793721146
0,1232,1105,1,3.8392690799482057
0,973,928,3,2.202808837490146
0,973,1011,1,4.881725510082577
0,973,714,1,6.739138237494938
0,1140,1478,1,10.56486642729493
0,1140,1058,1,4.404400893299181
0,1140,1187,1,3.960411314814771
0,794,834,1,3.0622624863494035
0,464,1140,1,21.137556298109768
0,834,925,1,5.249047199856985
0,834,873,1,3.963116935247085
0,834,1140,1,9.120303414799448
0,834,928,2,7.925847526229188
0,928,925,2,2.8524929798341074
0,928,873,1,11.464626189279452
0,928,1011,2,3.6167275925925466
0,702,172,1,18.858887720998347
0,702,834,1,4.389831624444016
0,1058,1187,1,3.335847799336888
0,850,928,1,7.925847526229188
0,850,1067,1,5.87594370452583
0,1105,783,2,21.4299278250006
0,1011,1140,1,3.335847799336888
0,1011,794,1,5.876008831303484
0,783,579,1,11.850386463154225
0,967,925,1,1.4630157462730349
0,967,928,2,3.962344440629368
0,967,702,1,9.424975322198348
0,1067,1412,1,8.946191032118977
0,1187,1232,1,2.2017655762295663
0,1187,783,1,19.009124176326512
1,925,1011,2,2.223898532891128
1,834,794,1,3.0622624863494035
1,928,794,1,5.8083597500151045
1,928,834,1,7.925847526229188
1,928,1004,1,9.763940751913996
1,928,1187,2,6.739067249150369
1,925,928,1,2.8524929798341074
1,925,1213,1,14.603468927185563
1,1232,1399,1,6.507057624431
1,1140,1399,1,6.738996195578808
1,1140,850,1,13.036256596755637
1,1140,967,1,4.548230871686798
1,794,172,1,24.591391490809126
1,834,925,1,5.249047199856985
1,834,928,1,7.925847526229188
1,928,925,2,2.8524929798341074
1,928,1011,1,3.6167275925925466
1,928,967,1,3.962344440629368
1,702,925,1,9.423506251261468
1,1058,928,1,3.468670210314232
1,1058,1105,1,3.961184888937906
1,1058,967,1,5.247679923034634
1,1058,1187,1,3.335847799336888
1,579,1187,1,16.57993448038173
1,967,1105,1,9.182568470632535
2,925,1058,1,5.058513634802797
2,834,873,1,3.963116935247085
2,967,402,1,15.541607685822626
2,925,873,1,8.629868015705554
2,925,928,2,2.8524929798341074
2,1232,1140,1,6.119741485129188
2,1232,928,1,8.28950012214804
